authors,year,title,abstract,corpus_id,doi,author
"G. Kasper, R. Schmidt",1996,Developmental Issues in Interlanguage Pragmatics,"Unlike other areas of second language study, which are primarily concerned with acquisitional patterns of interlanguage knowledge over time, most studies in interlanguage pragmatics have focused on second language use rather than second language learning. The aim of this paper is to profile interlanguage pragmatics as an area of inquiry in second language acquisition research, by reviewing existing studies with a focus on learning, examining research findings in interlanguage pragmatics that shed light on some basic questions in SLA, exploring cognitive and social-psychological theories that might offer explanations of different aspects of pragmatic development, and proposing a research agenda for the study of interlanguage pragmatics with a developmental perspective that will tie it more closely to other areas of SLA.",16056807,10.1017/S0272263100014868,
Carsten Roever,2009,Teaching and Testing Pragmatics,,60460525,10.1002/9781444315783.CH29,
R. Dekeyser,2007,Practice in a Second Language: List of contributors,,61461660,10.1017/CBO9780511667275,
"K. Tan, Atieh Farashaiyan",2012,The effectiveness of teaching formulaic politeness strategies in making request to undergraduates in an ESL classroom,"It is widely acknowledged that the main thrust of second language (L2) teaching and learning is establishing and developing the communicative competence of learners. Especially, in recent years, the focus has shifted more towards intercultural communicative competence (ICC). As such, it is more practical that educational endeavors should be directed both towards the grammar or lexis of the target language as well as the appropriate use of these grammatical and lexical systems in a variety of situations by considering different social and contextual factors. Therefore, this study embarks on the effect of explicit instruction of formulaic politeness strategies among Malaysian undergraduates in making request. Sixty Malaysian undergraduates participated in the study. The students included two groups of intervention and control groups. The data were cumulated through three tests, namely open ended completion test, a listening test and an acceptability judgment test. Treatment or experimental group received explicit instruction with structured and problem-solving and input tasks. The comparison was made between the performance of treatment group and that of control in terms of the pre-test and post-test. The findings show that the treatment group outperformed significantly than the control group. This matter is suggestive that in this probe, explicit form-based instruction was successful for learners to comprehend and produce the English politeness strategies effectively in making request. The findings of this study will be beneficial for material developers and teachers to make use of form-focused strategies more effectively to teach second language pragmatic features to Malaysian students.",59430952,10.5539/ASS.V8N15P189,
"E. A. Soler, J. R. G. Pitarch",2010,The Effect of Instruction on Learners' Pragmatic Awareness: a Focus on Refusals,"The benefits of instruction on learners’ production and awareness of speech acts is well documented (see Alcon and Martinez-Flor, 2008, for a review of pragmatics in instructional contexts). However, few studies examine the influence that instruction may have on the cognitive processes involved in speech act production (FelixBrasdefer, 2008). In order to address this research gap, and taking into account the discussion in research on the concept of attention and related terms such as awareness (see Al-Hejin, 2004, for a review of the role of attention and awareness in second language acquisition research) this paper reports on the benefits of instruction on learners’ attention and awareness during the performance of refusals. Thus, based on a pedagogical proposal for teaching refusals at the discourse level, we focus on the benefits that this pedagogical proposal can have on the information attended to during the planning and execution of refusals. Secondly, we explore whether instruction makes a difference in learners’ awareness of refusals.",54891892,10.6018/IJES/2010/1/113981,
"G. Fulcher, R. M. Reiter",2003,Task difficulty in speaking tests,"The difficulty of speaking tasks has only recently become a topic of investigation in language testing. This has been prompted by work on discourse variability in second language acquisition (SLA) research, new classificatory systems for describing tasks, and the advent of statistical techniques that enable the prediction of task difficulty. This article reviews assumptions underlying approaches to research into speaking task difficulty and questions the view that test scores always vary with task conditions or discourse variation. A new approach to defining task difficulty in terms of the interaction between pragmatic task features and first language (L1) cultural background is offered, and the results of a study to investigate the impact of these variables on test scores are presented. The relevance for the generalizability of score meaning and the definition of constructs in speaking tests is discussed.",85537987,10.1191/0265532203lt259oa,
P. Skehan,1998,语言学习认知法 = A cognitive approach to language learning,"Acknowledgements Preface Introduction 1. Comprehension and production strategies in language learning 2. The role of memory and lexical learning 3. Psycholinguistic processes in language use and language learning 4. Models of language learning 5. A rationale for task-based instruction 6. Implementing task-based instruction 7. Processing perspectives on testing 8. Research into language aptitude 9. Issues in aptitude theory: exceptional learners and modularity 10. Learning style 11. Learners, learning, and pedagogy 12. Conclusions Bibliography Index",141986297,10.2307/3587891,
D. Yoshimi,2001,Pragmatics in Language Teaching: Explicit instruction and JFL learner's use of interactional discourse markers,"Introduction The development of L2 pragmatic competence entails the ability to use a wide range of conversational routines and discourse strategies to manage one's communicative interactions with others. Since the early 1980s, researchers have established that a foreign language learner's development of various aspects of pragmatic competence may be facilitated by the instruction of pragmatic routines and strategies in the foreign language classroom (Kasper, this volume). House (1996, p. 247) points out that when such instruction is explicit, it appears to be particularly beneficial since it enables learners to develop an awareness and understanding of the differences between L1 and L2 pragmatic preferences, and thereby “counteract negative L1 transfer through ‘noticing’ (Schmidt, 1993b) and through making attempts to use alternative, more L2 norm-oriented expressions.” In a comparison of the relative benefits of implicit and explicit instruction, House (1996) reports on two sections (i.e., implicit and explicit) of a 14-week communication course instructed in the use of everyday, conversational routines. Through lectures, handouts, and explanatory feedback that provided metapragmatic information on the use and function of these routines, the members of the explicit group had additional opportunities to raise their awareness of preferred L2 pragmatic practices and to “notice” differences between L1 and L2 practices. House argues that the greater improvement shown by the explicit group, particularly in areas where the pragmatic preferences of the learners' L1 differed from those of the target L2, is a result of the learners' heightened awareness of L1-L2 pragmatic differences.",143028035,10.1017/CBO9781139524797.016,
Xiaoshi Li,2010,Sociolinguistic Variation in the Speech of Learners of Chinese as a Second Language,"With Chinese native-speaker data as the baseline, this study investigates the use of the morphosyntactic particle DE by learners of Chinese as a second language. The general patterns are as follows: (a) DE tends to be deleted more in informal speech than in formal settings; (b) higher proficiency and longer residence in China—more interactions with native speakers—promote DE deletion; and (c) females tend to adopt more formal language style and use DE more than males. The study also found that teachers and textbooks use DE much more often than native speakers. Learners’ patterns of DE use closely follow those of their teachers and textbooks, suggesting the necessity of explicit instruction in sociolinguistic variants in L2 classrooms.",146404395,10.1111/J.1467-9922.2009.00560.X,
"Eva Alcón-Soler, J. R. G. Pitarch",2013,The Effect of Instruction on Learners' Use and Negotiation of Refusals,"Research into Interlanguage Pragmatics has often focused on the effect of instruction on speech act production. However, features related to the interactive nature of conversation are rarely used in most of the pedagogical proposals for teaching the speech acts. Considering research outcomes on the benefits of pragmatic instruction, the need to conduct pragmatic intervention at the discourse level (Felix-Brasdefer, 2006b; Kasper, 2006) and the value of audiovisual input as a source of pragmatic input (Alcon, 2007; Fernandez-Guerra, 2008; Martinez-Flor, 2008), the present study focuses on the effect of instruction on learners' use of refusal strategies and concern for pragmatics. Alcon's (forthcoming) pedagogical proposal for teaching the speech act of refusals at the discourse level is used during the instructional treatment. In addition, pragmatic input is provided for the present study by means of scenes from the series Stargate, which were controlled for speech act type (refusals to requests) and social distance (+ power and + social distance). Findings from the study support Schmidt's (1993, 1995, 2001) noticing hypothesis, thus providing further evidence that high levels of attention-drawing activities are helpful for pragmatic learning. In addition to the differences as regards learners' use of refusal strategies, learners' attempts to accommodate the non-compliant nature of the speech act of refusals seem to have also been influenced by the teaching of refusals at the discourse level.1 IntroductionResearch into Interlanguage Pragmatics (ILP) has often focused on speech act production. Speech acts such as requests, apologies, complaints and refusals have received a great deal of attention over the years, but most of these studies ignore the interactive nature of conversation in their analyses of speech acts. Similarly, features related to the interactive nature of conversation are rarely used in most of the pedagogical proposals for teaching the speech acts or in most studies on speech act instruction (Martinez-Flor and Alcon, 2007, on suggestions; Olshtain and Cohen, 1990, on apologies; Rose and Ng Kwai-Fun, 2001, on compliments and compliment responses; Alcon, 2005, 2008; Martinez-Flor, 2007; Safont, 2005, 2007; Salazar, 2007; Takahashi, 2001; Uso-Juan, 2007, on requests; Kondo, 2008, on refusals). In addition, although results of these studies support Schmidt's (1993, 1995, 2001) noticing hypothesis and provide evidence of the positive effect of instruction (see also Alcon and MartinezFlor, 2005, 2008; Codina, 2008; Jeon and Kaya, 2006; Rose and Kasper, 2001; Takahashi, 2010), they ignore the interactive nature of conversation and the potential of teaching pragmatics at the discourse level.In the case of refusals, and as reported by Gass and Houck (1999: 2), the complexity of the speech act requires ""face-saving manoeuvres to accommodate the non-compliant nature of the act"". Most of the research on refusals has applied or adapted Beebe et a/.'s (1990) taxonomy, thereby focusing on semantic formulas, especially when dealing with learners or when contrasting NS and NNS use (see Al-Eryani, 2007; Al-Issa, 2003; AlKahtani, 2005; Felix-Brasdefer, 2003, 2006a; Geyang, 2007; Keshawarz, Eslami and Ghahraman, 2006; King and Silver, 1993; Kondo, 2001, 2008; Kwon, 2004; Salazar et al., 2009, among others). However, Felix-Brasdefer (2009) shows clearly that refusals function as a response to an initiating act and they are co-constructed by two or more interlocutors over multiple turns. In a similar line and in the area of language pedagogy, Felix-Brasdefer (2006b) and Alcon (forthcoming) present pedagogical models for teaching refusals at the discourse level. Felix-Brasdefer (2006b) presents three pedagogical sessions for teaching the negotiation of refusals across multiple turns in Spanish. The first one, communicative actions and cross-cultural awareness, focuses on cross-cultural awareness of refusing in English and Spanish, as well as providing pragmalinguistic input on refusals. …",141330287,10.1163/9789401209717_005,
"K. Bardovi-Harlig, Robert Griffin",2005,L2 PRAGMATIC AWARENESS: EVIDENCE FROM THE ESL CLASSROOM,,144018916,10.1016/J.SYSTEM.2005.06.004,
H. Cooper,2009,Research Synthesis and Meta-Analysis: A Step-by-Step Approach,Preface to the Fourth Edition Acknowledgments About the Author Chapter 1. Introduction Chapter 2. Step 1: Formulating the Problem Chapter 3. Step 2: Searching the Literature Chapter 4. Step 3: Gathering Information From Studies Chapter 5. Step 4: Evaluating the Quality of Studies Chapter 6. Step 5: Analyzing and Integrating the Outcomes of Studies Chapter 7. Step 6: Interpreting the Evidence Chapter 8. Step 7: Presenting the Results Chapter 9. Conclusion: Threats to the Validity of Research Synthesis Conclusions References Author Index Subject Index,207929258,10.4135/9781071878644,
"Neil H. Johnson, J. deHaan",2013,Strategic Interaction 2.0: Instructed Intercultural Pragmatics in an EFL Context,"The potential of web-based 2.0 technology for teaching and assessing intercultural pragmatics has become an area of focus for language educators (Cohen, 2008; Belz, 2005, 2006). Research has highlighted that second and foreign language learners show significant differences from native speakers in language use, in particular, with the execution and comprehension of certain speech acts (Bardovi-Harlig & Mahan-Taylor, 2003). Without effective instruction, differences in pragmatics are evident in the English of learners regardless of their first language background or language proficiency. In EFL contexts, such as Japan, where learners have limited exposure to native speaker norms, teaching and learning pragmatic competence can be particularly challenging. The authors describe an ongoing curriculum development project in a Japanese university context, where the goal is to design and implement an effective approach to teaching interlanguage pragmatics. Digitally enhanced Strategic Interaction (SI) sequences (Di Pietro, 1987) provide opportunities for learners to engage in realistic interactive situations that are mediated by use of model conversations, an online wiki space, and digital video technologies. The online space provides opportunities for learner reflection, peer assisted feedback, and detailed intervention from the instructor. Data analysis from pre- and post- written discourse completion tasks suggests that learners are able to use language in more context sensitive ways having engaged with the teaching/learning cycle design.",16813254,10.4018/jsita.2013010104,
"Alicia Martínez-Flor, E. A. Soler",2007,Developing Pragmatic Awareness of Suggestions in the EFL Classroom: A Focus on Instructional Effects.,,67774030,,
Naoko Taguchi,2007,Task Difficulty in Oral Speech Act Production,"This study took a pragmatic approach to examining the effects of task difficulty on L2 oral output. Twenty native English speakers and 59 Japanese students of English at two different proficiency levels produced speech acts of requests and refusals in a role play task. The task had two situation types based on three social variables: interlocutors� power difference (P), social distance (D), and the degree of imposition (R). In one situation type, the power relationship was equal, the distance was small, and the degree of imposition was small (PDR-low). In the other situation type, the listener had greater power, the distance was large, and the degree of imposition was also large (PDR-high). The participants� production was analyzed for overall appropriateness (rated on a 6-point scale), planning time, and speech rate. Results showed that L2 learners produced PDR-low speech acts significantly more easily and quickly, but little difference was observed in native speakers� production. There was a significant proficiency effect on appropriateness ratings and speech rate, but not on planning time. Post hoc analyses showed that each group demonstrated different patterns in the choice of linguistic expressions over the two situation types, indicating the noteworthy impact of situational variation on oral speech act production.",143596010,10.1093/APPLIN/AML051,
"H. Nicholas, P. Lightbown, N. Spada",2001,Recasts as Feedback to Language Learners,"Some researchers suggest that recasts are effective in showing learners how their current interlanguage differs from the target (Long & Robinson, 1998). Others have argued that recasts are ambiguous and may be perceived by the learner as confirmation of meaning rather than feedback on form (Lyster, 1998a). We review research on the effectiveness of recasts in first and second language acquisition, paying particular attention to how recasts have been defined and how their impact has been assessed in observational and experimental studies. We conclude that recasts appear to be most effective in contexts where it is clear to the learner that the recast is a reaction to the accuracy of the form, not the content, of the original utterance.",145810727,10.1111/0023-8333.00172,
P. Robinson,1995,"Attention, Memory, and the “Noticing” Hypothesis","Schmidt (1990) claimed that consciousness, in the sense of awareness of the form of input at the level of “noticing”, is necessary to subsequent second language acquisition (SLA). This claim runs counter to Krashen's (1981) dualsystem hypothesis that SLA largely results from an unconscious “acquisition” system, the contribution of the conscious “learning” system to SLA being limited and peripheral. Important to a theory of SLA that allows a central role to the act of noticing is a specification of the nature of the attentional mechanisms involved, and of their relationship to current models of the organization of memory. With this in mind the present paper reviews current research into the nature of attention and memory and proposes a model of the relationship between them during SLA that, it is argued, is complementary to Schmidt's noticing hypothesis and oppositional to the dual-system hypothesis of Krashen. In light of this model, I argue that differential performance on implicit and explicit learning and memory experiments is caused by differences in the consciously regulated processing demands of training tasks and not by the activation of consciously and unconsciously accessed systems. I also argue that the attentional demands of pedagogical tasks and individual differences in memory and attentional capacity both affect the extent of noticing, thereby directly influencing SLA.",143695386,10.1111/J.1467-1770.1995.TB00441.X,
"Shahla Simin, Zohreh R. Eslami, A. Eslami-Rasekh, S. Ketabi",2013,The effect of explicit teaching of apologies on Persian EFL learners' performance: When e-communication helps,"The present study was conducted to examine the effect of explicit teaching of the speech act of apology on learning and recognition of Persian EFL learners with the help of e-communication through exchange of e-mails. The participants of the study consisted of 60 upper-intermediate EFL learners majoring in English Literature and Translation who were divided into two groups: a) the explicit teaching group and b) the implicit teaching group. Accordingly, instruction on various apology situations was provided and the experimental group was asked to have e-communication through e-mail exchanges with their instructor during the semester. The study consisted of a pretest and a posttest which was considered to be quasi-experimental. The independent variable was the explicit teaching of speech acts and the dependent variable was learning success of the participants. After the treatment, the participants were given a posttest. The Analysis of the results revealed that the learners in the explicit teaching group who participated in e-mail exchanges gained significantly in terms of pragmatic proficiency required for strategies of apology. And the use of explicit teaching of apology involving them in e-communication exchanges significantly enhanced the pragmatic awareness of Persian EFL learners.",145161758,10.5861/IJRSLL.2014.661,
G. Kasper,2001,Four perspectives on L2 pragmatic development,"L2 learners' development of pragmatic ability has been studied from a variety of theoretical perspectives. This paper seeks to assess the contributions made by different approaches to interlanguage pragmatics as a subfield of Second Language Acquisition. A first approach locates the development of pragmatic ability within a comprehensive model of communicative competence, either examining pragmatics as an autonomous component or in its interaction with grammatical ability. The discussion focuses on the evidence for and against the interdependence of pragmatic and grammatical ability. A second perspective explores pragmatic learning as information processing, with a particular view to the roles of attention, awareness, input, and metapragmatic knowledge. One important question requiring further exploration is whether principles of grammar learning extend to the learning of pragmatics. A third approach investigates pragmatic learning in sociocultural perspective. A key observation has been that pragmatic knowledge emerges from assisted performance, both in student-teacher and peer interaction. The fourth approach is language socialization, investigating how cultural and pragmatic knowledge are jointly acquired through learners' participation in recurring situated activities. In a final section, the paper discusses whether the four perspectives are compatible or mutually exclusive.",145331770,10.1093/APPLIN/22.4.502,
"Alicia Martínez-Flor, Esther Usó-Juan",2006,A Comprehensive Pedagogical Framework to Develop Pragmatics in the Foreign Language Classroom: The 6Rs Approach.,,64157640,,
P. Skehan,1996,A FRAMEWORK FOR THE IMPLEMENTATION OF TASK-BASED INSTRUCTION,"L'enseignement base sur des travaux est un domaine ayant pris de l'importance depuis les 10 dernieres annees. Dans cet article, l'A. examine les critiques concernant cette mode actuelle de l'enseignement de la langue en matiere de communication, et passe en revue les theories et les recherches qui decrivent ses limites et ses qualites. Il propose ensuite un cadre permettant d'habiliter les enseignants a appliquer ce type d'instruction et d'eviter ainsi certains dangers qu'il comprend",143574814,10.1093/APPLIN/17.1.38,
"Thorsten Huth, Carmen Taleghani-Nikazm",2006,How can insights from conversation analysis be directly applied to teaching L2 pragmatics?,"This paper revisits the question of why pragmatics should be taught in the foreign language classroom and demonstrates how this can be achieved effectively with materials informed by conversation analysis (CA). Since findings in CA describe systematic action sequences underlying verbal activities that display cross-cultural variation, they capture pragmatics in its most natural locus: the conversational encounter. It will furthermore be demonstrated that L2 learners may benefit from instruction with CA-based materials with the ability to anticipate, interpret and produce, socio-pragmatically appropriate verbal behaviour in the target language. CA-based materials thus provide a rich resource for language teachers based on solid empirical evidence, and effectively enable L2 learners to engage in cross-culturally variable language behaviour inside and outside of class.",143498057,10.1191/1362168806lr184oa,
R. Ellis,1992,Learning to Communicate in the Classroom,"It is now generally accepted that second language (L2) acquisition can take place as a result of learning how to communicate in the L2. It is less clear, however, whether the kind of communication that occurs in a classroom is sufficient to ensure development of full target language competence. This article examines the extent to which the opportunities for communication in an English as a Second Language (ESL) classroom result in the acquisition of one particular illocutionary act—requests. A total of 410 requests produced by two child learners over 15–21 months were examined. The results suggest that although considerable development took place over this period, both learners failed to develop either the full range of request types or a broad linguistic repertoire for performing those types that they did acquire. The learners also failed to develop the sociolinguistic competence needed to vary their choice of request to take account of different addressees. One explanation for these results is that although the classroom context fostered interpersonal and expressive needs in the two learners, it did not provide the conditions for real sociolinguistic needs.",146654549,10.1017/S0272263100010445,
T. Hernandez,2011,Re-examining the role of explicit instruction and input flood on the acquisition of Spanish discourse markers,"Expanding on the studies of Hernández (2008) and de la Fuente (2009), this investigation examines the combined effect of explicit instruction (EI) and input flood (IF) vs. IF alone on students’ use of discourse markers to narrate a past event. Participants included 91 English-speaking adults enrolled in fourth-semester college Spanish courses, assigned to the EI + IF group (n = 36), the IF group (n = 30), or the control group (n = 25). The EI + IF group was provided with EI on the function and use of discourse markers. This group also received a flood of input containing the target forms. Students were provided with communicative practice and feedback. In contrast, the IF group did not receive EI + IF on the use of discourse markers. This group received the same flood of input as the EI group. The IF group was presented with communicative practice although there was no feedback. Results of a speaking task administered as a pre-test, immediate post-test, and delayed post-test indicated that both treatments had a positive effect on students’ use of discourse markers. Discourse transcripts show that the EI + IF group used more discourse markers to shape their output in student— student communicative exchanges than the IF group. Taken together, results suggest that the combined effect of EI and IF was not superior to IF alone in promoting student use of discourse markers as measured on the post-test speaking tasks.",145500427,10.1177/1362168810388694,
Alison Mackey,2006,"Feedback, noticing and instructed second language learning","Second language acquisition researchers have claimed that feedback provided during conversational interaction facilitates second language (L2) acquisition. A number of experimental studies have supported this claim, connecting interactional feedback with L2 development. Researchers have suggested that interactional feedback is associated with L2 learning because it prompts learners to notice L2 forms. This study explores the relationships between feedback, instructed ESL learners’ noticing of L2 form during classroom interactions and their subsequent L2 development. Interactional feedback was provided to learners in response to their production problems with questions, plurals, and past tense forms. Learners’ noticing was assessed through on-line learning journals, introspective comments while viewing classroom videotapes, and questionnaire responses. Through a controlled pre-test, post-test design, analyses of noticing and learning were carried out for each learner. The results point to an interesting, complex and positive relationship between interactional feedback in the classroom, the learners’ reports about noticing and their learning of L2 question forms.",145594477,10.1093/APPLIN/AMI051,
"A. Cohen, N. Ishihara",2010,Teaching and Learning Pragmatics: Where Language and Culture Meet,,60925846,,
"F. Oswald, Luke Plonsky",2010,Meta-analysis in Second Language Research: Choices and Challenges,"Applied linguists are increasingly conducting meta-analysis in their substantive domains, because as a quantitative approach for averaging effect sizes across studies, it is more systematic and replicable than traditional, qualitative literature reviews. Additional strengths, such as increased statistical power, moderator analyses, and model testing, have also contributed to its appeal. The current review describes typical stages of a meta-analysis in second language acquisition (SLA) research: (a) defining the research domain, (b) developing a reliable coding scheme, (c) analyzing data, and (d) interpreting results. Each stage has a host of equally reasonable decisions that can be made; each decision will influence the conduct of the meta-analysis, the nature of the results, and the substantive implications of findings for SLA. We highlight a number of benefits and challenges that inform these decisions. In general, when a meta-analysis in applied linguistics is well planned, employs sound statistical methods, and is based on a thorough understanding of relevant theory, it can provide critical information that informs theory as well as future research, practice, and policy.",143949705,10.1017/S0267190510000115,
Naoko Taguchi,2008,"Cognition, Language Contact, and the Development of Pragmatic Comprehension in a Study‐Abroad Context","This study examined two issues: (a) whether there are gains in accurate and speedy comprehension of second language (L2) pragmatic meaning over time and (b) whether the gains are associated with cognitive processing ability and the amount of language contact in an L2 environment. Forty-four college students in a US institution completed three measures three times over a 4-month period: (a) the pragmatic listening test that measured the ability to comprehend implied speaker intentions, (b) the lexical access test that measured ability to make speedy semantic judgment, and (c) the language contact survey that examined the amount of time learners spent in L2 outside the class. The learners' pragmatic comprehension was analyzed for accuracy (the scores on the pragmatic listening test) and comprehension speed (the average time taken to answer items correctly). Results showed that the learners made significant improvement on comprehension speed but not on accuracy of comprehension. Lexical access speed was significantly correlated with comprehension speed but not with accuracy. The amount of speaking and reading outside class that the students reported on the language contact survey significantly correlated with the gains in comprehension speed but not with accuracy of comprehension.",145544405,10.1111/J.1467-9922.2007.00434.X,
J. Sykes,2013,Chapter 4. Multiuser virtual environments: Learner apologies in Spanish,,114070261,10.1075/LLLT.36.05SYK,
"Maria-Pilar Safont-Jordà, Laura Portolés-Falomir",2013,Research Method Effects on Third Language Learners' Refusals,"Research in interlanguage pragmatics has largely ignored the multilingual background of language learners (Kasper, 2007, Safont-Jorda, in press). Although some studies have been conducted (Safont-Jorda, 2003, 2005a, b; Safont-Jorda and Alcon, in press), they have focused on the learners' requestive behavior. No studies on L3 learners' refusals have been published to date. Additionally, research methods employed in the analysis of L2 and L3 learners' pragmatic competence elicit the target pragmatic item in an artificial way, whether it be, written (i.e., Discourse Completion Test) or oral (i.e., role-play), as they provide learners with a written/oral prompt for an imaginary situation. In fact, learners provide potential answers (provided that fact tool place). Researchers have widely criticized this approach as it does not account for real communication. There are a number of situational factors influencing pragmatic and communicative development as shown by recent research (Dewaele, 2007) which are not considered if data collection is restricted to controlled pragmatic production. On that account, this paper compares refusal strategies employed in a DCT and in an instructional setting, that of the language classroom, by second and third language learners. Participants were 12 adult English learners engaged in an intermediate English course. They were Catalan-Spanish bilingual (6 subjects) and Spanish monolingual (6 subjects). As expected, results show a difference in the type of refusal strategies employed in real (i.e., classroom) and royal (i.e., oral role-play) interaction and they also point to the advantage of L3 over L2 learners in the variety of refusal strategies employed.1 IntroductionThe main aim of the present paper is to examine the effect of two variables on the pragmatic production of learners of English as a Foreign Language. On the one hand, we have taken into account the effect of the research method adopted on the use of refusal strategies. On the other, we have considered the learners' linguistic background, that is, whether they were monolingual or bilingual and thus were learning English as a second (i.e., L2) or as a third language (i.e., L3). Bearing our purpose in mind, we shall first consider those studies which have contrasted results obtained by means of an oral production task and those using ethnographic or pseudo natural data. Secondly, research on the role of bilingualism in language learners' pragmatic production will be taken into account and a particular focus will be given to the use of L3 refusals. Finally, results from our study on the effect of the research method and bilingualism in English learners' production of refusals will be described.1.1 Research methods in IL exhortative actsAccording to Clark and Bangerter (2004), three main methods have been employed in pragmatics research, namely those of intuition, observation and experiment.(...) With intuitions, you imagine examples of language used in this or that situation and ask yourself whether they are grammatical or ungrammatical, natural or unnatural, appropriate or inappropriate. This was Searle's method. With experiments, you invite people into the laboratory, induce them to produce, comprehend or judge samples of language, and measure their reactions. With observations, you note what people say or write as they go about their daily business. We will name these methods by their characteristic locations: armchair, laboratory andfield (Clark and Bangerter, 2004: 25).Interlanguage pragmatics research has adopted methods employed in LI pragmatics, and has particularly made use of 'laboratory' experiment methods. As stated by Jucker (2009), these elicitation techniques (i.e., laboratory) rely on the informants' cooperation. Participants have to imagine situations and report the way they would behave or the way they would expect others to behave in them. Some authors seek to determine the most effective method for measuring pragmatic ability (Brown and Ahn, 2011; Yamashita, 1996). …",141685205,10.1163/9789401209717_011,
"N. Ellis, Laura Collins",2009,"Input and Second Language Acquisition: The Roles of Frequency, Form, and Function Introduction to the Special Issue","The articles in this special issue explore how the acquisition of linguistic constructions as form–function mappings is affected by the distribution and saliency of forms in oral input, by their functional interpretations, and by the reliabilities of their form–function mappings. They consider the psycholinguistics of language learning following general cognitive principles of category learning, with schematic constructions emerging from usage. They analyze how learning is driven by the frequency and frequency distribution of exemplars within construction, the salience of their form, the significance of their functional interpretation, the match of their meaning to the construction prototype, and the reliability of their mappings. These investigations address a range of morphological and syntactic constructions in instructed, uninstructed, and laboratory settings. They include both experimental and corpus-based approaches (some conducted longitudinally) and consider the relationship between input and acquisition in the short term and over time, with a particular emphasis on spoken input directed to second and foreign language learners. [ABSTRACT FROM AUTHOR]",10037089,10.1111/J.1540-4781.2009.00893.X,
B. Tomlinson,2012,Applied Linguistics and Materials Development,1. Introduction: Applied Linguistics and Materials Development Brian Tomlinson Part I: Learning and Teaching Languages 2. Second Language Acquisition Brian Tomlinson 3. Beyond Semantics: Moving Language in Foreign Language Learning Peter Lutzker 4. Classroom Research Brian Tomlinson 5. Language Learning for Young Learners Irma-Kaarina Ghosn Comments on Part I Brian Tomlinson Part II: Aspects of Language Use 6. Spoken Language Research: The Applied Linguistic Challenge Ivor Timmis 7. Vocabulary Alan Maley 8. Pragmatics Andrew Cohen and Noriko Ishihara 9. The Application of Discourse Analysis to Materials Design for Language Teaching Ben Fenton-Smith 10. Intercultural Competence Michael Byram and Hitomi Masuhara Comments on Part II Brian Tomlinson Part III: Language Skills 11. Reading Alan Maley andPhilip Prowse 12. The Teaching of Reading in English for Young Learners: Some Considerations and Next Steps Annie Hughes 13. Listening in Another Language: Research and Materials Rumia Ableeva and Jeff Stranks 14. Materials for Writing: Was This the Case of the Runaway Bandwagon? Jayakaran Mukundan and Vahid Nimiechisalem 15. Teaching Speaking in a Second Language Ann Burns and David A. Hill Comments on Part III Brian Tomlinson Part IV: Curriculum Development 16. Implementing Language Policy and Planning Through Materials Development Chris Kennedy and Brian Tomlinson 17. Studies of Pedagogy Freda Mishan 18. Modes of Delivery Freda Mishan 19. Language Testing Washback: The Role of Materials Kathleen Bailey and Hitomi Masuhara Comments on Part IV Brian Tomlinson 20. Conclusion: The Future of Applied Linguistics and Materials Development Brian Tomlinson Bibliography Index,60721068,10.5040/9781472541567,
B. Lafford,2009,Toward an Ecological CALL: Update to Garrett (1991),"This introduction to the 2009 Modern Language Journal Focus Issue uses the lens of an ecological perspective on the acquisition of second languages to provide additional insights into the contributions by various computer-assisted language learning (CALL) scholars to this update on Garrett (1991) , “Technology in the service of language learning: Trends and issues.” After providing a thematic overview of the trends and issues discussed by Garrett (1991, this issue) and the other contributors, I discuss the most salient themes and controversies mentioned by the Focus Issue authors, including CALL and second language acquisition theory, empirical research and CALL, creation and use of CALL materials and technologies, social networking, assessment, the need for teacher training, and professional rewards. This introduction concludes with a section on the future of CALL as an independent field and with a look at future research and practical applications of CALL. [ABSTRACT FROM AUTHOR]",143349135,10.1111/J.1540-4781.2009.00966.X,
Shaofeng Li,2010,The Effectiveness of Corrective Feedback in SLA: A Meta-Analysis.,"This study reports on a meta-analysis on the effectiveness of corrective feedback in second language acquisition. By establishing a different set of inclusion/exclusion criteria than previous meta-analyses and performing a series of methodological moves, it is intended to be an update and complement to previous meta-analyses. Altogether 33 primary studies were retrieved, including 22 published studies and 11 Ph.D. dissertations. These studies were coded for 17 substantive and methodological features, 14 of which were identified as independent and moderator variables. It was found that (a) there was a medium overall effect for corrective feedback and the effect was maintained over time, (b) the effect of implicit feedback was better maintained than that of explicit feedback, (c) published studies did not show larger effects than dissertations, (d) lab-based studies showed a larger effect than classroom-based studies, (e) shorter treatments generated a larger effect size than longer treatments, and (f) studies conducted in foreign language contexts produced larger effect sizes than those in second language contexts. Possible explanations for the results were sought through data cross-tabulation and with reference to the theoretical constructs of SLA.",142968009,10.1111/J.1467-9922.2010.00561.X,
