authors,year,title,abstract,corpus_id,doi,author
W. Decoo,1996,THE INDUCTION-DEDUCTION OPPOSITION: AMBIGUITIES AND COMPLEXITIES OF THE DIDACTIC REALITY,"Les termes induction et deduction, tels qu'une analyse de la litterature scientifique nous les revele, renvoient souvent a des concepts differents. Il semble utile de discerner les differentes modalites, en particulier dans le domaine de l'induction. Les comparaisons experimentales de differentes approches methodologiques semblent negliger les aspects complexes de la realite en classe. L'A. ne prend pas position dans la controverse methodologique, mais contribue a une plus grande prise de conscience d'une part des problemes terminologiques, d'autre part des tangentes, des formes plurielles et des correspondances entre les strategies didactiques qui se reclament d'induction ou de deduction",16011224,10.1515/iral.1996.34.2.95,
Richard G. Kern,2006,Perspectives on Technology in Learning and Teaching Languages,"Rapid evolution of communication technologies has changed language pedagogy and language use, enabling new forms of discourse, new forms of authorship, and new ways to create and participate in communities. The first section of this article identifies and discusses four key issues arising from the recent technology-related literature (the status of CALL, its theoretical grounding, its cultural embeddedness, and its effectiveness). The second section synthesizes research findings from three current areas of research: computer-mediated communication, electronic literacies, and telecollaboration. The third section develops implications for teaching and research, highlighting the importance of the teacher, new understandings of language and communication, critical awareness of the relationships among technology, language, culture, and society, and new trends in research methods.",56217993,10.2307/40264516,
M. Kubota,1995,Teachability of Conversational Implicature to Japanese EFL Learners.,,54752194,,
"J. Belz, Nina Vyatkina",2005,Learner Corpus Analysis and the Development of L2 Pragmatic Competence in Networked Inter-cultural Language Study: The Case of German Modal Particles,"<p> This article reports on a corpus-based, developmental pedagogical intervention for the teaching of German modal particles (MPs) in which learners examined their own emerging MP use as well as that of their native-speaking keypals in the context of electronically mediated, project-based collaboration. Individual learner development was traced microgenetically over a period of nine weeks using Telekorp, a bilingual learner corpus with a built-in control corpus. The current study contributes to the teaching of second language (L2) pragmatics with respect to the authenticity of the interactions, the corpus-enabled nature of the intervention, the developmental scope of the data, and the potential for 'hyper-noticing' in Internet-mediated intercultural foreign language education.</p> <p> Cette étude porte sur l'analyse faite à partir du corpus d'une intervention pédagogique conçue pour l'enseignement des particules de modalité (PM) en langue allemande. Dans le cadre d'une collaboration électronique autour d'un projet de classe, les apprenants ont examiné leur propre emploi des PM ainsi que celui de leurs correspondants, locuteurs natifs. Le développement respectif des apprenants a été établi de façon microgénétique sur une période de neuf semaines à l'aide de Telekorp, un corpus bilingue d'apprenants associé à un corpus natif témoin. La présente étude contribue à l'enseignement de la pragmatique d'une langue seconde relativement à l'authenticité des interactions, à l'utilisation d'un corpus comme outil d'intervention, à l'analyse du développement chez les apprenants et au potentiel offert pour favoriser l'hyper-noticing dans l'éducation interculturelle des langues secondes à travers l'Internet. </p>",143510553,10.1353/CML.2005.0038,
"Elite Olshtain, A. Cohen",1990,The Learning of Complex Speech Act Behaviour,"The study reported in this article concerns itself with the learning and teaching of the more subtle and complex features of the speech act of apology in English. Based on the knowledge that we have to date on apology speech act behaviour, we addressed ourselves to questions relating to the efficacy of teaching such elements as: choice of semantic formula; appropriate length of realization patterns; use of intensifiers; judgment of appropriacy and students' preferences for certain teaching techniques. In order to attempt and answer these questions we carried out a training study with I8 adult learners of English, speakers of Hebrew. The study consisted of : a) a pre-teaching questionnaire aimed at assessing the subjects' use of apologies; b) a teaching materials packet covering three classroom sessions and c) a postteaching questionnaire. The findings suggest that although we cannot present clear cut quantitative improvement of the learners' speech act behaviour after the given training programme, we find that there is an obvious qualitative approximation of native like speech act behaviour with respect to types of intensification and downgrading, choice of strategy and awareness of situational factors. We feel, therefore, that the teaching of speech act behaviour is a worthwhile project even if the aim is only to raise the learners' awareness of appropriate speech act behaviour.",143192392,10.18806/TESL.V7I2.568,
J. C. Félix-Brasdefer,2002,"Refusals in Spanish and English : a cross-cultural study of politeness strategies among speakers of Mexican Spanish, American English, and American learners of Spanish as a foreign language",,153018700,,
"A. M. Flor, Esther Usó Juan, Ana Belén Fernández Guerra",2003,Pragmatic competence and foreign language teaching,,153906186,,
J. Belz,2002,Social Dimensions of Telecollaborative Foreign Language Study,,61888431,,
"A. Cohen, Elite Olshtain",1981,DEVELOPING A MEASURE OF SOCIOCULTURAL COMPETENCE: THE CASE OF APOLOGY1,"For a number of years, there has been interest in measuring sociocultural competence (Ervin-Tripp 1972, Hymes 1974, Canale and Swain 1980). This study focuses on one important aspect of such competence: the ability to use the appropriate sociocultural rules of speaking, by reacting in a culturally acceptable way in context and by choosing stylistically appropriate forms for that context. We chose to look at productive performance in sociocultural aspects of speaking, focusing on the speech act of “apology.” The research question that prompted this study was, “Can a rating scale be developed for assessing sociocultural competence?” The subjects were 32 native Hebrew speakers, 20 of whom served as informants for apologies in English LZ and 12 as informants in Hebrew LI, and 12 Americans who served as informants in English LI. These subjects were asked to role-play their responses in eight situations in which an apology was expected. The findings show that it is possible to identify culturally and stylistically inappropriate L2 utterances in apology situations. The authors feel, however, that the results so far provide at best a crude measure of sociocultural competence and that further work with this speech act and with others is called for.",144249347,10.1111/J.1467-1770.1981.TB01375.X,
"Elsa Roberts, Burgess, Denise",1995,Teaching particular languages,"outlines the design and development of a course the aimed to meet the needs of ESL students studying in the Faculty of Arts. The development of Critical Language Awareness in relation to general and subject specific study skills is discussed. The term 'Critical Communication Skills' (CCS) is intro-duced and defined. An outline is given of a two-part course. In Part One students work through materials which address CCS in relation to subject of common interest — the media in South Africa. In Part Two the demands of studying specific subjects are presented (e.g. Philosophy). The course is discussed in relation to ESP and critical skills development for use beyond university study. each associated with different types of innovations, highlight a new set of perspectives on the role of perceived attributes of ELT innovations. This paper reports the findings of a study on the intonation of second-language speakers of English from three language groups: Spanish, Japanese and Thai. The investigation focused on how non-native speakers use intonation to signal meaning in the structure of their discourse. Thirty adult speakers of English as a second language at the intermediate level and ten native speaker controls were tape recorded in both oral reading and free speech tasks. The speech data were analysed on a Visipitch machine to measure how pitch and intensity were used contrastively to show relationships in discourse. Following a model of intonational meaning dev-eloped by Pierrehumbert and Hirschberg, pitch accents, phrase accents, boundary tones, and para-tones were measured. The study revealed that while the native speakers made significant use of pitch contrasts to signal meaning on the items measured, the non-native speakers did not consistently use pitch to signal meaningful contrasts in many of the same environments. This study investigated the effect of functional-analytic teaching on aspects of French immersion (FI) students sociolinguistic competence at the Grade 8 level. A set of functional-analytic materials, entailing the study and practice of sociostylistic variation, was implemented in three FI classrooms by their respective teachers during French language arts classes over an average period of five weeks. A pre-test, an immediate post-test, and a delayed post-test were administered to the experimental group as well as to a comparison group in order to compare classes on three measures of sociolinguistic competence (defined as the ability to recognise and produce socially appropriate language in context). The study demonstrated that functional-analytic teaching substantially improved aspects of FI students' sociolinguistic competence in at least three ways: (1) by significantly increasing their ability in oral production to appropriately and accurately use vous in formal situations; (2) by significantly increasing their ability in written production to appropriately use vous in formal letters, and, in the short run, to use polite closings in formal letters; and (3) by significantly increasing their ability to recognise contextually appropriate French. speakers showed that: (1) the present perfect serves as the dominant past tense form for main verbs in the German colloquial standard; (2) modal verbs, the copula sein 'be,' haben 'have,' and certain formulaic expression occur in the preterite; and (3) the use of the past tense forms is linked to contextual and social factors. A German syllabus, then, must include a discussion of verb type when presenting the everyday use of the German preterite and present perfect. The study points to the situational and social contexts influencing the use of grammatical structures rather than merely presenting contextless rules governing their use. This study examines the role of illustrations in language learning and presents an analysis of the illustration content of 18 texts for teaching introductory Spanish published between 1960 and 1989. It also discusses the appropriate use of illustrations in teaching and considers future prospects.",143606191,10.1017/S0261444800007953,
"Alicia Martínez-Flor, Yoshinori J. Fukuya",2005,The effects of instruction on learners’ production of appropriate and accurate suggestions,,57339754,10.1016/J.SYSTEM.2005.06.007,
Lawrence F. Bouton,1996,Pragmatics and Language Learning.,,60524430,,
Nessa Wolfson,1988,Perspectives: Sociolinguistics and TESOL,,142746826,,
J. Sykes,2008,A dynamic approach to social interaction: Synthetic immersive environments & Spanish pragmatics,,142582303,,
