authors,title,year,abstract,doi,link,search_method
Pilar Garces-Conejos Blitvich,"Interlanguage pragmatics: A response to Andrew Cohen's “Strategies for learning and performing L2 speech acts” published in Vol. 2, No. 3, of Intercultural Pragmatics",2006,"… Andrew Cohen's contribution to the field of interlanguage pragmatics has been significant and fruitful. … … My aim here is not so much to evaluate his work critically as it is to point out weaknesses in the field of interlanguage pragmatics that are also present in his production. … … Two Japanese native speakers did the ratings, the first a non-teacher and the second being a Japanese instructor . . . the two raters were Interlanguage pragmatics 217 not given pre-determined evaluating … … Empirical evidence of the need for instruction in pragmatics. In Kenneth Rose and Gabriele Kasper (eds.), Pragmatics in Second Language Teaching. Cambridge: Cambridge University Press. 13-32. … … The impact of strategies-based instruction on speaking a foreign language. In Andrew D. Cohen, Strategies in Learning and Using a Second Language. Harlow, England: Longman. 107-156. …",10.1515/IP.2006.013,https://doi.org/10.1515/IP.2006.013,manual_journal_search[intercultural_pragmatics]
Rémi A. van Compernolle,From verbal protocols to cooperative dialogue in the assessment of second language pragmatic competence,2013,"… This article addresses the role of verbal protocols and cooperative dialogue in assessments of L2 pragmatic competence from the perspective of Vygotskian sociocultural theory. … … of social closeness (i.e., familiarity, solidarity), with specific focus on second-person address forms: tu ‘you- informal / intimate ’ vs. vous ‘you- formal / distant .’ … … In Eva Alcón Soler & Alicia Martinez-Flor (eds.), Investigating pragmatics in foreign language learning, teaching and testing, 72-93. Bristol: Multilingual Matters. Jourdenais, Renée. 2001. … … A sociocultural approach to teaching and researching second language: Systemic-theoretical instruction and second language development. … … Introspective methodology in interlanguage pragmatics research. In Gabriele Kasper (ed.), Pragmatics of Japanese as a native and target language, 27-82. …",10.1515/ip-2013-0003,https://doi.org/10.1515/ip-2013-0003,manual_journal_search[intercultural_pragmatics]
Andrew D Cohen,Interlanguage pragmatics: A reply to Pilar Garces-Conejos Blitvich,2006,"… an earlier issue, “Strategies for learning and performing L2 speech acts” (vol. 2, no. 3). … … These were “speech act theory,” “discourse completion tasks,” and “multi-competence pragmatics.” … … , L2 learners find it di‰cult to develop pragmatic comprehension (Kasper & Rose 2002), especially in the case of a foreign language like Japanese. … … Cook, Kyoko Hijirida, and Mildred Tahara (eds.), New Trends and Issues in Teaching Japanese Language and Culture (Technical Report #15). … … Honolulu: University of Hawai’i, Second Language Teaching and Curriculum Center. 137-163. -. 2001. From L1 to L12: The confessions of a sometimes frustrated multiliterate. …",10.1515/IP.2006.021,https://doi.org/10.1515/IP.2006.021,manual_journal_search[intercultural_pragmatics]
"Marie-Noëlle Guillot,",Conversational management and pragmatic discrimination in foreign talk: Overlap in advanced L2 French,2012,"… Objectives are twofold: to assess cross-cultural differences in the management of talk from the standpoint of learners, and to assess pragmatic adaptations to L1 French practices in advanced L2 French. … … French, and highlights the limiting impact of processing demands on pragmatic discrimination in L2 French, resulting in differential adaptations to native French practices and a possible perpetuation … … Developing pragmatic fluency in English as a foreign language: Routines and metapragmatic awareness. Studies in Second Language Acquisition 1. 225-252. Kerbrat-Orecchioni, Catherine. 1994. … … Acquiring French interactional norms through instruction. In Kenneth Rose & Gabriela Kasper (eds.), Pragmatics in Language Teaching, 125144. Cambridge: Cambridge University Press. … … In Richard Towell & Jean-Marc Dewaele (eds.), Focus on French as a Foreign Language, 210 -239. Clevedon: Multilingual Matters [Second Language Acquisition Series 10]. …",10.1515/ip-2012-0019,https://doi.org/10.1515/ip-2012-0019,manual_journal_search[intercultural_pragmatics]
Manuel Padilla Cruz,An integrative proposal to teach the pragmatics of phatic communion in ESL classes,2013,"… For this reason, this paper suggests a methodological proposal to teach the pragmatics of phatic communion and raise learners' meta-pragmatic awareness. … … Based on an approach to teach the pragmatics of specific L2 aspects (Martínez Flor and Usó Juan 2006), this proposal integrates relevant findings about phatic communion from pragmatics and other neighboring … … the pragmatics of phatic discourse Practitioners in interlanguage and instructional pragmatics have suggested different frameworks to teach specific L2 pragmatic aspects, which coincide in some respects … … Pragmatics in language teaching. Cambridge: Cambridge University Press. Kasper, Gabriel & Kenneth R. Rose. 2002. Pragmatic development in a second language. Malden, MA: Blackwell. … … Effects of pragmatic development through awareness-raising instruction: Refusals by Japanese EFL learners. …",10.1515/ip-2013-0005,https://doi.org/10.1515/ip-2013-0005,manual_journal_search[intercultural_pragmatics]
,Between culture and pragmatics: Scylla and Charybdis? The precarious condition of intercultural pragmatics,2006,"… The same applies in the L2 learner’s meeting with his or her foreign language. … … Journal of Pragmatics 30 (4): 457-484. Sawyer, Mark. 1992. The development of pragmatics in Japanese as a second language: The sentence-final particle ne. In G. … … Kasper (ed.), Pragmatics of Japanese as Native and Target Language [Technical Report 3]. Honolulu, Hawa’i: University of Hawai’i at Manoa, Second Language Teaching and Curriculum Center. 83-125. …",10.1515/iprg.2004.006,https://doi.org/10.1515/iprg.2004.006,manual_journal_search[intercultural_pragmatics]
"Jim Hlavac, Zhichang Xu, David Xiong Yong",Intercultural pragmatics at work: (Self-)perceptions of intercultural behavior of Chinese and English speakers and interpreters in healthcare interactions,2015,"… Interpreters are expected to have an advanced command of not only the vocabulary and grammar of their working languages, but also the pragmatic norms that speakers of their working languages employ in … … Hall 1976); the second applies Celce-Murcia's (2007) more refined notion of “communicative competence.” … … Sydney: National Centre for English Language Teaching and Research. Brown, Penelope & Stephen Levinson. 1987. Politeness: Some universals in language usage. Cambridge: Cambridge University Press. … … Rethinking the role of communicative competence in language teaching. In Eva Alcon Soler & Maria Pilar Safont Jorda (eds.), Intercultural language use and language learning, 41-57. … … Journal of Pragmatics 36(8). 1429-1465. Swaffar, Janet & Andrea Vlatten. 1997. A sequential model for video viewing in the foreign language curriculum. The Modern Language Journal 81(2). 175-188. …",10.1515/ip-2015-0004,https://doi.org/10.1515/ip-2015-0004,manual_journal_search[intercultural_pragmatics]
"Muriel Warga, Ursula Schölmberger",The acquisition of French apologetic behavior in a study abroad context,2007,"… Research in interlanguage pragmatics and sociolinguistics has suggested that foreign language learners have difficulties in reaching higher levels of pragmatic and sociolinguistic competence without receiving … … The purpose of the current study is to investigate the effect of a period of immersion in the target language community on the pragmatic development of foreign language learners of French in the area of … … Interlanguage pragmatics: Requesting in a foreign language. In Perspectives on Language in Performance. Vol. 2, Studies in Linguistics, Literary Criticism, and Language Teaching and Learning. … … Can Pragmatic Competence Be Taught? (Net Work #6) [online], Honolulu, University of Hawai’i at Manoa, Second Language Teaching and Curriculum Center. … … The E¤ect of Instruction on the Development of Pragmatic Competence in the English as a Foreign Language Context: A Study Based on Suggestions. …",10.1515/IP.2007.012,https://doi.org/10.1515/IP.2007.012,manual_journal_search[intercultural_pragmatics]
"Kris Van De Poel, Tineke Brunfaut",Medical communication in L1 and L2 contexts: Comparative modification analysis,2010,"… study investigated the pragmatic competence of doctors using an L2 in their clinical setting. … … Pragmatically, one type of Swedish L2 underrepresentation, i.e., external modification, is counterbalanced by another type of modification, i.e., internal modification. … … In Computer Learner Corpora, Second Language Acquisition and Foreign Langauge Teaching, Sylviane Granger, Joseph Hung, and Stephanie Petch-Tyson (eds.), 55-76. Amsterdam: John Benjamins. … … Medical communication in L1 and L2 contexts 123 Bardovi-Harlig, Kathleen (2002). Pragmatics and Second Language Acquisition. … … Pragmatics in Second Language Learning. In Handbook of Research in Second Language Teaching and Learning, Eli Hinkel (ed.), 317334. Mahwah/London: Erlbaum. Kellerman, Eric (1980). …",10.1515/iprg.2010.005,https://doi.org/10.1515/iprg.2010.005,manual_journal_search[intercultural_pragmatics]
Cynthia Lee,Understanding refusal style and pragmatic competence of teenage Cantonese English learners in refusals: An exploratory study,2016,"… The frequency rate of refusing directly decreased when age and language-learning exposure increased. The older teenage learners refused more indirectly than the young ones. … … In addition, the direct-then-indirect development in L2 refusals is similar to that in L2 requests and complaints expressed by young Cantonese English learners, and there are some signs of L1 pragmatic … … speakers of the target language and second/foreign (L2) language learners. … … The findings not only indicate the development of their direct-then-indirect L2 refusals and L2 pragmatic competence, which resemble those related to L2 requesting and complaining reported in the literature … … Signs of L1 pragmatic transfer are seen from their L2 refusals. …",10.1515/ip-2016-0010,https://doi.org/10.1515/ip-2016-0010,manual_journal_search[intercultural_pragmatics]
"Andrea DeCapua, Joan Findlay Dunham",The pragmatics of advice giving: Cross-cultural perspectives,2007,"… Our data indicate that there are important pragmatic differences between how native speakers and non-native speakers in the United States offered advice, regardless of the non-native speakers' English … … Research such as this underscores the need to provide language learners with an awareness that pragmatic behaviors differ across cultures. … … Any decision to teach socio-pragmatic norms must include an awareness of the di¤erent language teaching contexts in which such instruction will occur. … … Pragmatics and Language Learning, Monograph Series. Vol. 5. 39-50. Kasper, Gabriele. 1998. Interlanguage pragmatics. In Heidi Byrnes (ed.). Learning Foreign and Second Languages. 183-208. … … Pragmatic competence in foreign language teaching. 185-210. Castelló: Servei de Publicacions de la Universitat Jaume I. Mutongi, Kenda. 2000. …",10.1515/IP.2007.016,https://doi.org/10.1515/IP.2007.016,manual_journal_search[intercultural_pragmatics]
"Dolores Ramírez Verdugo, Jesús Romero Trillo",The pragmatic function of intonation in L2 discourse: English tag questions used by Spanish speakers,2005,"… The present article discusses the pragmatic role of intonation in cross-cultural interactions. … … The corpus data were analyzed and annotated in order to obtain detailed and quantitative comparable information on the two language user groups’ prosodic characteristics. … … of a very limited variety of patterns in the foreign language (Ramı́rez Verdugo 2003). … … future teachers-of English. … … The e¤ect of experience on adults’ acquisition of a second language. Studies in Second Language Acquisition 23 (4): 527-552. Garcı́a Lecumberri, Marı́a Luisa. 1995. …",10.1515/iprg.2005.2.2.151,https://doi.org/10.1515/iprg.2005.2.2.151,manual_journal_search[intercultural_pragmatics]
Shoichi Matsumura,Exploring the aftereffects of study abroad on interlanguage pragmatic development,2007,"… The study investigates changes over time in the pragmatic competence of 15 university-level Japanese students after they returned from an eight-month study abroad in Canada. … … Findings suggest that direct exposure to English after return to the L1 community contributes to the maintenance of pragmatic competence, and more importantly, that students may develop pragmatic competence … … These students worked three hours a week as tutors teaching the Japanese language to foreign students, or as study partners supporting their coursework. … … Developing pragmatic fluency in English as a foreign language: Routines and metapragmatic awareness. Studies in Second Language Acquisition 18: 225-252. Hudson, Thom, Emily Detmer and James D. … … How can insights from conversation analysis be directly applied to teaching L2 pragmatics? Language Teaching Research 10: 53-79. Iino, Masakazu. 1996. ‘Excellent Foreigner!’ …",10.1515/IP.2007.010,https://doi.org/10.1515/IP.2007.010,manual_journal_search[intercultural_pragmatics]
"Nancy Bell, Salvatore Attardo",Failed humor: Issues in non-native speakers' appreciation and understanding of humor,2010,"… What is it that makes humor difficult to understand and appreciate in a second language (L2)? … … Despite advances in research in both L2 pragmatics and humor studies, scholars have as yet had little to say on this topic. … … Evaluating the empirical evidence: Grounds for instruction in pragmatics? In Kenneth Rose & Gabriele Kasper (eds.), Pragmatics in language teaching, 1332. Cambridge: Cambridge University Press. … … : An analysis of language play in a beginning Japanese as a foreign language classroom. Applied Linguistics 30(1). 49-69. Byon, Andrew Sangpil. 2004. … … On the effects of instruction in second language pragmatics. System 33. 385-399. Rogerson-Revell, Pamela. 2007. …",10.1515/iprg.2010.019,https://doi.org/10.1515/iprg.2010.019,manual_journal_search[intercultural_pragmatics]
Gerrard Mugford,"Félix-Brasdefer, J. Cesar and Dale April Koike: Pragmatic Variation in First and Second Language Contexts: Methodological Issues",2015,"… The book, Pragmatic Variation in First and Second Language Contexts: Methodological Issues, offers both extensive and intensive insights into variation in pragmatics in both first and second language contexts … … between the second-person pronouns tu and vous among US university learners of French at different instructional levels” (2012: 239). … … Terkourafi’s contribution to the volume is her identification of different approaches to studying pragmatic variation and their relevance to foreign language teaching.In the concluding chapter, Methodological …",10.1515/ip-2015-0020,https://doi.org/10.1515/ip-2015-0020,manual_journal_search[intercultural_pragmatics]
Tetyana Sydorenko,The use of computer-delivered structured tasks in pragmatic instruction: An exploratory study,2015,"… development of second language learners. … … instruction (PI) have not been examined. … … These recommendations apply to both second and foreign language teaching contexts. … … However, foreign language learners may especially benefit from CASTs by receiving the much-needed target-like pragmatic input. … … second language contexts. …",10.1515/ip-2015-0017,https://doi.org/10.1515/ip-2015-0017,manual_journal_search[intercultural_pragmatics]
Maria Metsä-Ketelä,Pragmatic vagueness: Exploring general extenders in English as a lingua franca,2016,"… On the contrary, it can be concluded that general extenders allow interlocutors to achieve pragmatically effective yet explicit lingua franca interaction. … … It is fairly safe to assume that in addition to these languages, vague expressions are found in many more, if not all, natural vernaculars.There is also a growing body of research into VL used by L2 speakers … … the teacher’s behavior. … … Many studies on second-language learning have raised concerns about how proficient non-native speakers of English truly are when it comes to mastering various subtle pragmatic devices in a foreign language …",10.1515/ip-2016-0014,https://doi.org/10.1515/ip-2016-0014,manual_journal_search[intercultural_pragmatics]
"Elly Ifantidou,, Angeliki Tzanne,",Levels of pragmatic competence in an EFL academic context: A tool for assessment,2012,"… This paper discusses an advanced language assessment tool designed to assess university students' linguistic competence in L2. … … The tool serves the final exam of a course offered to second-year students of English language and literature. … … Developing pragmatic fluency in English as a foreign language: Routines and metalinguistic awareness. Studies in Second Language Acquisition 18: 225-252. House, Juliane. 2001. … … Teaching and learning pragmatic fluency in a foreign language: The case of English as a lingua franca. In A. Martínez-Flor, E. Usó-Juan, & A. … … Web-based curriculum for pragmatics instruction in Japanese as a foreign language: An explicit awareness-raising approach. Language Awareness 16(1). 21- 40. Ifantidou, Elly. 2010. …",10.1515/ip-2012-0003,https://doi.org/10.1515/ip-2012-0003,manual_journal_search[intercultural_pragmatics]
"Paula M. Winke, Chunhong Teng",Using task-based pragmatics tutorials while studying abroad in China,2010,"… We describe the pragmatics tutoring curriculum, the pragmatics learning journals that are part of the curriculum, and a Chinese pragmatics test that we developed and used for this study. … … We discuss how and why the explicit teaching of pragmatics can and should be fully integrated into a study-abroad curriculum. … … The teaching of pragmatics should be integrated into regular foreign language instruction as much as possible because students do not otherwise encounter social situations that require the development … … standpoint of second language pedagogy and communicative language teaching theory. … … Web-based curriculum for pragmatics instruction in Japanese as a foreign language: An explicit awareness-raising approach. Language Awareness 16 (1):21-40. Ji, Shaojun. 2000. …",10.1515/iprg.2010.016,https://doi.org/10.1515/iprg.2010.016,manual_journal_search[intercultural_pragmatics]
Laura Portolés Falomir,Leyre Ruiz de Zarobe and Yolanda Ruiz de Zarobe: Speech actsand politeness across languages and cultures,2015,"… of speech acts and politeness across languages and cultures, (iii) descriptive studies of speech acts and politeness in second/foreign language teaching and, (iv) methodological resources in the study … … language teaching and learning. … … The authors suggest that teaching pragmatics in the foreign language classroom is a necessary condition for the appropriate use of the target language.Beckwith and Dewaele, in their chapter ‘The effect …",10.1515/ip-2015-0014,https://doi.org/10.1515/ip-2015-0014,manual_journal_search[intercultural_pragmatics]
"Istvan Kecskes, Dan E. Davidson, Richard Brecht",The foreign language perspective,2005,"… Introduction The goal of this special issue is to present current research in the pragmatics of different languages from a foreign language perspective. … … What we mean by a ‘‘foreign language perspective’’ is the analysis and explication of the use of a particular language in a foreign language setting from the perspective of non-native speakers and / or … … The foreign language perspective 1. Introduction The goal of this special issue is to present current research in the pragmatics of di¤erent languages from a foreign language perspective. … … and second language acquisition research. … … On my mind: Thoughts about salience, context, and figurative language from a second language perspective. Second Language Research. Kecskes, Istvan, and Tünde Papp. 2000. …",10.1515/iprg.2005.2.4.361,https://doi.org/10.1515/iprg.2005.2.4.361,manual_journal_search[intercultural_pragmatics]
Istvan Kecskes,The dual language model to explain code-switching: A cognitive-pragmatic approach,2006,"… The present paper seeks to explain code-switching produced by Spanish- English bilingual speakers from the community of Gibraltar from a cognitive-pragmatic perspective new perspective based on the dual … … code-switching is conceptual-pragmatic rather than syntactic. … … Second, this cognitive-pragmatic approach considers code-switching a cooperative rather than a competitive relationship between two languages. … … Journal of Memory and Language 44: 2-31. Kecskes, Istvan. 1998. The state of L1 knowledge in foreign language learners. Word 49 (3): 321-340. -. 2002. Situation-Bound Utterances in L1 and L2. … … Intercultural Pragmatics 1 (1): 1-29. Kecskes, Istvan, and Tunde Papp. 2000. Foreign Language and Mother Tongue. Mahwah, NJ: Lawrence Erlbaum. -. 2003. …",10.1515/IP.2006.017,https://doi.org/10.1515/IP.2006.017,manual_journal_search[intercultural_pragmatics]
Milica Savić,“Can I very please borrow it?”: Request development in young Norwegian EFL learners,2015,"… With the introduction of the notion of communicative competence to second-language learning and teaching (Canale and Swain 1980), and the recognition of the role of pragmatic competence within it (Bachman … … 1990; Bachman and Palmer 1996), interlanguage pragmatics (ILP) research has gained in popularity. … … 1993: 3), studies of request development in English as a foreign/second language (L2) are by far the best represented in the literature (Kasper and Rose 2002: 134). … … foreign languages combined. … … and how they progress toward pragmatic understanding in a foreign language. …",10.1515/ip-2015-0023,https://doi.org/10.1515/ip-2015-0023,manual_journal_search[intercultural_pragmatics]
Juliane House,Introduction: The pragmatics of English as a Lingua Franca,2009,"… The papers in this issue do not therefore look upon English as a second or a foreign language to be measured against an ideal native speaker norm, but as a special form of language use operating under … … (NNS-NNS) talk’’ or ‘‘L2-L2’’ talk. … … Journal of Pragmatics 26(2): 237-259. Firth, Alan (2009). Doing not being a foreign language learner: English as a lingua franca in the workplace and (some) implications for SLA. …",10.1515/IPRG.2009.008,https://doi.org/10.1515/IPRG.2009.008,manual_journal_search[intercultural_pragmatics]
"Rémi A. van Compernolle, Lawrence Williams, Claire McCourt",A corpus-driven study of second-person pronoun variation in L2 French synchronous computer-mediated communication,2011,"… Using a corpus-driven variationist approach, this study analyzes variation between the French second-person pronouns tu (T) and vous (V) during synchronous computer-mediated communication (SCMC) interactions … … among learners at different instructional levels. … … Learning the pragmatics of solidarity in the networked foreign language classroom. In Lorrie S. … … Conceptual knowledge and instructed second language learning. In Sandra Fotos & Hossein Nassaji (eds.), Form-focused instruction and teacher education: Studies in honour of Rod Ellis, 35-54. … … Oxford (eds.), Second language teaching and learning in the Net Generation, 143-154. Honolulu: University of Hawai‘i, National Foreign Language Resource Center. Morford, Janet. 1997. …",10.1515/IPRG.2011.003,https://doi.org/10.1515/IPRG.2011.003,manual_journal_search[intercultural_pragmatics]
J. César Félix-Brasdefer,Pragmatic development in the Spanish as a FL classroom: A cross-sectional study of learner requests,2007,"… This study investigates the development of requests from the beginning of foreign language instruction to advanced levels of proficiency in face-to-face interactions. … … This study also addresses the issue of the primacy of pragmatics over grammar in expressing pragmatic intent, formula research in interlanguage pragmatics, and pragmatic development in the FL classroom … … Introduction Most research in interlanguage pragmatics (ILP) has focused on language use among learners at various proficiency levels in foreign (FL) and second (L2) language contexts. … … Requests by young Japanese: A longitudinal study. The Language Teacher Online [online] 25 (8). … … An exploratory cross-sectional study of interlanguage pragmatic development. Studies in Second Language Acquisition 22 (1): 27-67. -. 2005. On the e¤ects of instruction in second language pragmatics. …",10.1515/IP.2007.013,https://doi.org/10.1515/IP.2007.013,manual_journal_search[intercultural_pragmatics]
Carmen Maíz-Arévalo,Expressing disagreement in English as a lingua franca: Whose pragmatic rules?,2014,"… More specifically, I intend to answer the following research question: In a multicultural class where English is the medium of instruction and students' peer to peer communication, whose pragmatic “rules … … In other words, do these speakers stick to their own cultural pragmatic rules or follow nativelike ones? … … Indeed, all the students in the group (except for two of them) were highly proficient in English (some of them being teachers of English as a foreign language in their countries of origin). … … The fact that they were not students of English as a second or foreign language was not seen as a problem. … … Paper presented at the Japan Association of Language Teachers’ International Conference on Language teaching and learning, University of Japan, 22-24 November. Locher, Miriam A. 2004. …",10.1515/ip-2014-0009,https://doi.org/10.1515/ip-2014-0009,manual_journal_search[intercultural_pragmatics]
Jagdish Kaur,Ambiguity related misunderstanding and clarity enhancing practices in ELF communication,2017,"… As research into the use of English as a lingua franca (ELF) intensifies, questions on the implications of the findings for English Language Teaching (ELT) are increasingly being raised. … … Like Cogo (2012: 104), who proposes that students be made “aware of different ways of speaking English, of language variability and change,” Sewell (2013: 8) recommends that teachers “provide learners … … of ELF pragmatics that has generated substantial research interest concerns the issue of misunderstanding in ELF. … … As such, any instruction that regards redundant material as superfluous and to be avoided is likely to be unhelpful to learners of English. …",10.1515/ip-2017-0002,https://doi.org/10.1515/ip-2017-0002,manual_journal_search[intercultural_pragmatics]
Nancy D Bell,Interactional adjustments in humorous intercultural communication,2006,"… in this type of communication, NSs who do not have experience in intercultural communication may actually overestimate the amount and types of adjustments that are necessary, thus underestimating the second … … language (L2) user's proficiency. … … Second language play as a representation of the multicompetent self in foreign language study. Journal for Language, Identity, and Education 1 (1): 13-39. Belz, Julie, and Jonathon Reinhardt. 2004. … … Pragmatics 4 (3): 357-389. Siegal, Meryl. 1996. The role of learner subjectivity in second language sociolinguistic competency: Western women learning Japanese. Applied Linguistics 17 (3): 356-382. … … Playfulness as mediation in communicative language teaching in a Vietnamese classroom. In J. P. Lantolf (ed.), Sociocultural Theory and Second Language Learning. …",10.1515/IP.2006.001,https://doi.org/10.1515/IP.2006.001,manual_journal_search[intercultural_pragmatics]
Lucy Pickering,Intonation as a pragmatic resource in ELF interaction,2009,"… The investigation of pragmatic strategies in ELF interaction is a relatively new area of research. This paper examines intonation as a pragmatic resource in ELF interaction. … … NS-based discourse to establish a state of informational and social convergence (Brazil, The communicative value of intonation in English, Cambridge University Press, 1997; Chun, Discourse intonation in L2 … … The LeaP corpus (Learning the Prosody of a Foreign Language) is a prosodically annotated corpus which targets English and German as second languages. … … EFL is thus a ‘distant’ contact language for many speakers; that is, adopted via foreign language instruction rather than personal contact’’ (p. 126). … … Learner corpora in second language prosody research and teaching. In Non-native prosody, Jürgen Trouvain and Ulrike Gut (eds.). Berlin: Mouton de Gruyter. Halliday, Michael A K. (1967). …",10.1515/IPRG.2009.013,https://doi.org/10.1515/IPRG.2009.013,manual_journal_search[intercultural_pragmatics]
"Maria Sabaté i Dalmau, Hortènsia Curell i Gotor",From “Sorry very much” to “I'm ever so sorry”: Acquisitional patterns in L2 apologies by Catalan learners of English,2007,"… This paper analyzes the acquisitional stages of L2 apology realizations in response to discourse completion tasks produced in a cross-sectional study by 78 Catalan learners of English at three different … … The paper discusses pragmatic transfer, as well as the types of interlanguage behavior of each of the three groups of L2 learners. … … Four perspectives on L2 pragmatic development (NFLRC Net Work #19) [online], Honolulu, University of Hawai’i at Manoa, Second Language Teaching and Curriculum Center. … … Posting the banns: A marriage of pragmatics and culture in foreign and second language pedagogy and beyond. … … In Pragmatic Competence and Foreign Language Teaching, Alicia Martı́nez Flor, Esther Usó Juan and Ana Fernández Guerra (eds.), 247-281. …",10.1515/IP.2007.014,https://doi.org/10.1515/IP.2007.014,manual_journal_search[intercultural_pragmatics]
Victor Ho,Evaluating while justifying intercultural requests,2014,"… Research into the speech-act request performed by people of different cultures operationalized at levels including nation, community of practice, and L2 speakers has identified and discussed sets of culture-related … … The use of evaluative language in intercultural request grounders was then compared with that in intracultural ones. … … Student/teacher interaction via email: The social context of Internet discourse. Journal of Second Language Writing 11. 117-134. Blum-Kulka, Shoshana & Juliane House. 1989. … … Intercultural Pragmatics 6(4). 473-515. Fukushima, Saeko. 1996. Request strategies in British English and Japanese. Language Sciences 18(3/4). 671-688. … … Journal of Pragmatics 41. 1636-1656. Liu, Yichun. 2011. Power perceptions and negotiations in a cross-national email writing activity. Journal of Second Language Writing 20. 257-270. …",10.1515/ip-2014-0025,https://doi.org/10.1515/ip-2014-0025,manual_journal_search[intercultural_pragmatics]
Nashwa Nashaat Sobhy,Book Review,2015,"… of resources for second language educators - English and other languages - for teaching and assessment. … … using L2 norms when not in concordance with one’s own pragmatics, and the effect of L2 textbook instruction. … … Chapter eleven moves up to pragmatics in curriculum design, reproving rightly the opinion that learners of a second or a foreign language will “pick up” the  behavioral norms of that language when exposed …",10.1515/ip-2015-0006,https://doi.org/10.1515/ip-2015-0006,manual_journal_search[intercultural_pragmatics]
Lieven Buysse,‘Well it's not very ideal …’ The pragmatic marker well in learner English,2015,"… The pragmatic marker well has received a lot of attention in studies on native speaker discourse and has served as an interesting testing ground for theories accounting for the multifunctionality of pragmatic … … In the rapidly expanding body of research on pragmatic markers in learner English well has also claimed a prominent position, but so far no comparison has been made of how learners of varying mother tongue … … Over the past decade the interest in how foreign language learners make use of pragmatic markers has surged (e.g. … … and are forced to use a foreign language. … … Journal of Pragmatics 33(6). 849-878. O’Keeffe, Anne, Michael McCarthy and Ronald Carter. 2007. From corpus to classroom. Language use and language teaching. Cambridge: Cambridge University Press. …",10.1515/ip-2015-0003,https://doi.org/10.1515/ip-2015-0003,manual_journal_search[intercultural_pragmatics]
"Mohammed Nahar Al-Ali, Rami Alawneh",Linguistic mitigating devices in American and Jordanian students' requests,2010,"… and what factors influence their pragmatic request behavior. … … The results also indicated that there are at least three factors influence the nonnative speakers' choices: language ability, L1 pragmatic knowledge, and L1 cultural norms transfer. … … Second Language Research 8. 203-231. Kobayashi, Hiroe & Carol Rinnert. 2003. Coping with high imposition requests: High vs. low proficiency EFL students in Japan. … … In Alicia Martı́nez-Flor & Ana Fernández Guerra (eds.), Pragmatic competence in foreign language teaching, 161-184. Castelló: Servei de Publicacions de la Universitat Jaume I. Koike, Dale. 1994. … … Journal of Pragmatics 21. 513-526. Koike, Dale. 1995. Transfer of pragmatic competence and suggestions in Spanish foreign language learning. …",10.1515/iprg.2010.014,https://doi.org/10.1515/iprg.2010.014,manual_journal_search[intercultural_pragmatics]
,Book Reviews,2012,"… (Japanese as a Foreign Language) pedagogy during the past five decades. … … as a second language (JSL) in Japan or as a foreign language (JFL) in their home countries - on the pragmatic development of responses to compliments by comparing response strategies (Positive [agreeing … … Pragmatics of Japanese as native and target language. Honolulu, HI: University of Hawai’i at Manoa, Second Language Teaching and Curriculum Center. …",10.1515/ip-2012-0030,https://doi.org/10.1515/ip-2012-0030,manual_journal_search[intercultural_pragmatics]
Junko Imai,Book Review,2013,"… Globalization has established the status of English as an international language and generated different types of learning opportunities for the second language (L2) learners in both their homelands and … … Socializing identities through speech style: Learners of Japanese as a foreign language. Bristol: Multilingual Matters. Deardorff, Daria K. 2006. … … Honolulu: National Foreign Language Resource Center. Kasper, Gabriele & Rose, Kenneth R. 2002. Pragmatic development in a second language. Malden, MA: Blackwell. Kinginger, Celeste. 2009. …",10.1515/ip-2013-0024,https://doi.org/10.1515/ip-2013-0024,manual_journal_search[intercultural_pragmatics]
Agnes Terraschke,"Or so, oder so, and stuff like that—general extenders in New Zealand English, German and in learner language",2010,"… Mastering the pragmatic norms of another language is a great challenge to non-native speakers. One aspect of the pragmatic norms of a language is the appropriate use of general extenders. … … Do language learners recognize pragmatic violations? Pragmatic versus grammatical awareness in instructed L2 learning. TESOL Quarterly 32 (2). 233-262. Brinton, Laurel J. 1996. … … Interlanguage pragmatics. In Heidi Byrnes (ed.), Learning Foreign and Second Languages: Perspectives in Research and Scholarship, 183-208. New York: Modern Language Association of America. … … International Review of Applied Linguistics in Language Teaching 45(2). 141-160. Terraschke, Agnes & Janet Holmes 2007. …",10.1515/iprg.2010.020,https://doi.org/10.1515/iprg.2010.020,manual_journal_search[intercultural_pragmatics]
,Contributors to this issue,2012,"… co-edited Intercultural Language Use an Language Learning (Springer, 2007), and Investigating Pragmatics in Foreign language Learning, Teaching and Testing (Multilingual Matters 2008). … … She specializes in language pedagogy and second language acquisition studies. … … Her most recent interest is in the impact of studying abroad in language and culture learning, teaching L2 literacy, and acquisition of mimetic words in Japanese. …",10.1515/ip-2012-0031,https://doi.org/10.1515/ip-2012-0031,manual_journal_search[intercultural_pragmatics]
